idiom,def
Off the hook,To escape a situation of responsibility.
Off the hook,To escape a situation of danger.
Once in a blue moon,Something that occurs very rarely.
Own goal,To do something accidentally negative against yourself.
Own goal,To do something accidentally negative against your own team.
Pop one's clogs,Euphemism for death.
Pop one's clogs,Euphemism for dying.
the pot calling the kettle black,Used when someone making an accusation is equally as guilty as those being accused.
Piece of cake,A job that is pleasant.
Piece of cake,A job that is simple.
Piece of cake,A job that is easy.
Piece of cake,A task that is pleasant.
Piece of cake,A task that is simple.
Piece of cake,A task that is easy.
Preaching to the choir,To present a side of a discussion to someone who already agrees with it.
Preaching to the choir,To present a side of a argument to someone who already agrees with it.
Preaching to the choir,Wasting your time.
Pull somebody's leg,To tease.
Pull somebody's leg,To joke by telling a lie.
Pushing up daisies,Euphemism for dying.
Pushing up daisies,Euphemism for death.
Put the cat among the pigeons,To create a disturbance and cause trouble.
Raining cats and dogs,Raining really strong.
Raining cats and dogs,Raining really hard.
Right as rain,Needed.
Right as rain,Appropriate.
Right as rain,Essential.
Right as rain,Hoped for.
Right as rain,Perfect.
Right as rain,Well.
Right as rain,Absolutely right.
Rock the boat,Say something that will cause problems.
Rock the boat,Do something that will cause problems.
Rock the boat,Say something that will upset people.
Rock the boat,Do something that will upset people.
Shoot the breeze,To chat idly.
Shoot the breeze,Generally waste time talking.
Shooting fish in a barrel,Frivolously performing a simple task.
Step up to the plate,To deliver beyond expectations.
Screw the pooch,To screw up.
Screw the pooch,To fail in dramatic and ignominious fashion.
Sleep with the fishes,Euphemism for dying.
Sleep with the fishes,Euphemism for death.
Spill the beans,Reveal someone's secret.
Spin one's wheels,Expel much effort for no gain.
Spin one's wheels,Expel much effort for little gain.
Straw that broke the camel's back,Last in a line of unacceptable occurrences.
Take the biscuit,To be particularly bad.
Take the biscuit,To be particularly objectionable.
Take the biscuit,To be particularly egregious.
Take the cake,To be especially good.
Take the cake,To be outstanding.
Take with a grain of salt,To not take what someone says too seriously.
Take with a grain of salt,To treat someone's words with a degree of scepticism.
Throw under the bus,To betray someone for selfish reasons.
Throw under the bus,To sacrifice someone for selfish reasons.
Through thick and thin,In both good and bad times.
Thumb one's nose,To express scorn.
Thumb one's nose,To disregard.
Tie one on,To get drunk.
To steal someone's thunder,To take credit for something someone else did.
Trip the light fantastic,To dance
Two a penny,Cheap.
Two a penny,Common.
Under my thumb,Under my control
Under the weather,Feel sick.
Under the weather,Feel poor.
Under the weather,Feel ill.
The whole nine yards,Everything. All of it.
Wild goose chase,A frustrating undertaking that accomplishes little.
Wild goose chase,A lengthy undertaking that accomplishes little.
He holds the cards,He controls the situation.
She holds the cards,She controls the situation.
They hold the cards,They control the situation.
You can say that again,That is very true.
You can say that again,Expression of wholehearted agreement.
